date,fcdemvs,fcrepvs
2012-07-13,52.5,47.5
2012-07-12,52.5,47.5
2012-07-11,52.5,47.5
2012-07-10,52.5,47.5
2012-07-09,52.5,47.5
2012-07-08,52.5,47.5
2012-07-07,52.5,47.5
2012-07-06,52.5,47.5
2012-07-05,52.5,47.5
2012-07-04,52.5,47.5
2012-07-03,52.5,47.5
2012-07-02,52.5,47.5
2012-07-01,52.5,47.5
2012-06-30,52.5,47.5
2012-06-29,52.5,47.5
2012-06-28,52.5,47.5
2012-06-27,52.5,47.5
2012-06-26,52.5,47.5
2012-06-25,52.5,47.5
2012-06-24,52.5,47.5
2012-06-23,52.5,47.5
2012-06-22,52.5,47.5
2012-06-21,52.5,47.5
2012-06-20,52.5,47.5
2012-06-19,52.6,47.4
2012-06-18,52.3,47.7
2012-06-17,52.3,47.7
2012-06-16,52.3,47.7
2012-06-15,52.3,47.7
2012-06-14,52.3,47.7
2012-06-13,52.3,47.7
2012-06-12,52.3,47.7
2012-06-11,52.3,47.7
2012-06-10,52.3,47.7
2012-06-09,52.3,47.7
2012-06-08,52.3,47.7
2012-06-07,52.3,47.7
2012-06-06,52.3,47.7
2012-06-05,52.3,47.7
2012-06-04,52.3,47.7
2012-06-03,52.3,47.7
2012-06-02,52.3,47.7
2012-06-01,52.3,47.7
2012-05-31,52.3,47.7
2012-05-30,52.3,47.7
2012-05-29,52.3,47.7
2012-05-28,52.3,47.7
2012-05-27,52.3,47.7
2012-05-26,52.3,47.7
2012-05-25,52.3,47.7
2012-05-24,52.3,47.7
2012-05-23,52.3,47.7
2012-05-22,52.3,47.7
2012-05-21,52.4,47.6
2012-05-20,52.4,47.6
2012-05-19,53.1,46.9
2012-05-18,53.1,46.9
2012-05-17,53.1,46.9
2012-05-16,53.7,46.3
2012-05-15,53.7,46.3
2012-05-14,53.7,46.3
2012-05-13,53.7,46.3
2012-05-12,53.7,46.3
2012-05-11,53.7,46.3
2012-05-10,53.7,46.3
2012-05-09,52.5,47.5
2012-05-08,52.5,47.5
2012-05-07,52.5,47.5
2012-05-06,52.5,47.5
2012-05-05,52.5,47.5
2012-05-04,52.5,47.5
2012-05-03,52.5,47.5
2012-05-02,52.5,47.5
2012-05-01,52.4,47.6
2012-04-30,52,48
2012-04-29,52,48
2012-04-28,52,48
2012-04-27,52,48
2012-04-26,51.9,48.1
2012-04-25,51.9,48.1
2012-04-24,52.6,47.4
2012-04-23,52.6,47.4
2012-04-22,51.7,48.3
2012-04-21,51.7,48.3
2012-04-20,51.7,48.3
2012-04-19,52.3,47.7
2012-04-18,52.3,47.7
2012-04-17,52.3,47.7
2012-04-16,52.3,47.7
2012-04-15,52.3,47.7
2012-04-14,52.3,47.7
2012-04-13,52.3,47.7
2012-04-12,52.3,47.7
2012-04-11,52.3,47.7
2012-04-10,52.3,47.7
2012-04-09,51.6,48.4
2012-04-08,51.6,48.4
2012-04-07,51.6,48.4
2012-04-06,51.6,48.4
2012-04-05,51.6,48.4
2012-04-04,51.6,48.4
2012-04-03,52.9,47.1
2012-04-02,52.9,47.1
2012-04-01,52.9,47.1
2012-03-31,52.9,47.1
2012-03-30,52.9,47.1
2012-03-29,53.9,46.1
2012-03-28,53.9,46.1
2012-03-27,53.9,46.1
2012-03-26,54,46
2012-03-25,51.4,48.6
2012-03-24,51.4,48.6
2012-03-23,51.4,48.6
2012-03-22,51.4,48.6
2012-03-21,51.4,48.6
2012-03-20,51.4,48.6
2012-03-19,51.4,48.6
2012-03-18,51.4,48.6
2012-03-17,52.3,47.7
2012-03-16,52.3,47.7
2012-03-15,52.3,47.7
2012-03-14,52.3,47.7
2012-03-13,52.3,47.7
2012-03-12,53.3,46.7
2012-03-11,53.3,46.7
2012-03-10,53.3,46.7
2012-03-09,53.3,46.7
2012-03-08,53.3,46.7
2012-03-07,53.3,46.7
2012-03-06,51.5,48.5
2012-03-05,51.5,48.5
2012-03-04,51.6,48.4
2012-03-03,51.6,48.4
2012-03-02,51.6,48.4
2012-03-01,51.6,48.4
2012-02-29,51.6,48.4
2012-02-28,51.6,48.4
2012-02-27,51.6,48.4
2012-02-26,49.9,50.1
2012-02-25,49.9,50.1
2012-02-24,49.9,50.1
2012-02-23,49.9,50.1
2012-02-22,49.9,50.1
2012-02-21,49.9,50.1
2012-02-20,49.9,50.1
2012-02-19,51.4,48.6
2012-02-18,51.4,48.6
2012-02-17,51.4,48.6
2012-02-16,50.7,49.3
2012-02-15,50.7,49.3
2012-02-14,50.7,49.3
2012-02-13,50.5,49.5
2012-02-12,50.3,49.7
2012-02-11,50.8,49.2
2012-02-10,50.8,49.2
2012-02-09,50.8,49.2
2012-02-08,50.8,49.2
2012-02-07,50.9,49.1
2012-02-06,50.9,49.1
2012-02-05,51.7,48.3
2012-02-04,50.8,49.2
2012-02-03,50.8,49.2
2012-02-02,50.8,49.2
2012-02-01,50.8,49.2
2012-01-31,50.6,49.4
2012-01-30,50.6,49.4
2012-01-29,50.3,49.7
2012-01-28,49.1,50.9
2012-01-27,49.1,50.9
2012-01-26,49,51
2012-01-25,49.8,50.2
2012-01-24,50,50
2012-01-23,49.7,50.3
2012-01-22,49.7,50.3
2012-01-21,49.7,50.3
2012-01-20,49.7,50.3
2012-01-19,51.6,48.4
2012-01-18,51.5,48.5
2012-01-17,51.5,48.5
2012-01-16,51.5,48.5
2012-01-15,51.7,48.3
2012-01-14,51.7,48.3
2012-01-13,51.7,48.3
2012-01-12,51.7,48.3
2012-01-11,51.3,48.7
2012-01-10,51.3,48.7
2012-01-09,51.3,48.7
2012-01-08,51.3,48.7
2012-01-07,51.3,48.7
2012-01-06,51.3,48.7
2012-01-05,51.3,48.7
2012-01-04,50.1,49.9
2012-01-03,51.2,48.8
2012-01-02,51.2,48.8
2012-01-01,50.7,49.3
2011-12-31,50.7,49.3
2011-12-30,50.7,49.3
2011-12-29,50.7,49.3
2011-12-28,50.7,49.3
2011-12-27,50.7,49.3
2011-12-26,50.3,49.7
2011-12-25,50.3,49.7
2011-12-24,50.3,49.7
2011-12-23,50.2,49.8
2011-12-22,50.2,49.8
2011-12-21,50.2,49.8
2011-12-20,50.2,49.8
2011-12-19,50.2,49.8
2011-12-18,50.2,49.8
2011-12-17,50.2,49.8
2011-12-16,49,51
